,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
59,375.0,15.0,1.0333333333333257,2.195617420211113,0.0013469405226217,0.7402268906213312
60,100.0,20.0,1.0256410256410309,0.2101717927130734,0.0439407841004532,0.4591365229563984
61,125.0,20.0,0.9999999999999964,0.5371583999787779,0.0221867597722779,0.4793156163202032
62,150.0,20.0,1.0541371158392487,2.572837798101598,0.0013184782288176,0.5667931308165264
63,175.0,20.0,1.0425531914893702,2.5735407762491995,0.001,0.5474589959064098
64,200.0,20.0,1.0444444444444536,2.4077934055514594,0.001,0.5259597186593289
65,225.0,20.0,1.0416847590099896,2.435700589471232,0.0018413172088204,0.5959805780244946
66,250.0,20.0,1.0211267605633847,2.4131114184738656,0.001,0.5213109075411531
67,275.0,20.0,1.02418414918415,2.267406619004494,0.001,0.4972788524761974
68,300.0,20.0,1.02914614121511,2.403146031348278,0.001,0.5516001729692079
69,325.0,20.0,1.036004645760744,2.354716981724338,0.001,0.5199254467601231
70,350.0,20.0,1.0440038684719564,2.360015976639967,0.0010000000000001,0.5319417971888438
71,375.0,20.0,1.043478260869562,2.4199654971105544,0.0011066222621146,0.5803758611702853
72,100.0,25.0,0.9754273504273516,0.0010000002313798,0.0010000000032196,0.4389560352885929
73,125.0,25.0,0.9891304347826136,0.001000002810032,0.0146700080575131,0.5063816921749179
74,150.0,25.0,0.999999999999998,0.4353388657000047,0.0143553781921222,0.4464530173677568
75,175.0,25.0,1.0731707317073231,2.8875874439207574,0.001,0.4913008817957046
76,200.0,25.0,1.020833333333334,0.3405235135034944,0.0374264588156614,0.4954109615460598
77,225.0,25.0,1.0222222222222093,0.6856765276346184,0.0179651868876272,0.4813345059915477
78,250.0,25.0,1.0,0.2727131901933045,0.0309708039830772,0.4474252610418041
79,275.0,25.0,1.0,0.2197898533058265,0.0138892052962986,0.4591091479829844
80,300.0,25.0,1.0,0.2470113617322147,0.0169583645672368,0.4825549516089496
81,325.0,25.0,1.0243902439024395,0.551386632488321,0.0189434326114409,0.445874689495829
82,350.0,25.0,1.0238095238095173,0.8226543516530948,0.0134101326199318,0.4714164776282136
83,375.0,25.0,1.0217391304347965,0.4081787296056954,0.0359414096534508,0.4705373778105012
84,100.0,30.0,,,,
85,125.0,30.0,,,,
86,150.0,30.0,,,,
87,175.0,30.0,,,,
88,200.0,30.0,,,,
89,225.0,30.0,,,,
90,250.0,30.0,,,,
91,275.0,30.0,,,,
92,300.0,30.0,,,,
93,325.0,30.0,,,,
94,350.0,30.0,,,,
95,375.0,30.0,,,,
96,101.0,4.66,1.1126403380684848,1.1156268858508684,0.2171244068832374,2.1078289118214117
97,117.0,4.66,1.087953506468242,0.001,0.4194921982728443,2.0631303585704663
98,133.0,4.66,,,,
99,149.0,4.66,1.1341911764705883,1.0069348210916966,0.3507446396087207,2.4045012312587812
100,165.0,4.66,1.1312206227967092,1.0682546680865523,0.3545625392869588,2.5792752271590955
101,180.0,4.66,1.0946655742262088,1.062218270182614,0.276486897760217,2.6488684215191007
102,196.0,4.66,1.1767149572609468,0.8371227451650506,0.4760601587081368,2.2117490288316692
103,211.0,4.66,1.0876826722338202,0.927297207176842,0.2565251240518333,2.202855558384317
104,227.0,4.66,1.0849909584086803,1.1909778233656887,0.1887748271084756,2.3859591942452893
105,243.0,4.66,1.1056751467710373,0.9921670599530068,0.259070124352625,2.3918207253044614
106,274.0,4.66,1.111184610240905,1.238786859574251,0.2802690583056187,2.819506726452903
107,353.0,4.66,1.0890868596881973,0.790684736432576,0.2744841168210617,2.086388906125098
108,101.0,5.76,1.1091832416419805,1.7409582064795648,0.0551402053058618,1.969931988037498
109,117.0,5.76,1.094444444444444,1.2054456096289174,0.12975389570358,1.5441936503918108
110,133.0,5.76,1.0954665881660293,1.2531669898057507,0.1440914290390964,1.8611272852629888
111,149.0,5.76,1.1142102953807087,1.08179170602632,0.20830542451564,1.568389932902281
112,165.0,5.76,1.0806796522709317,1.3353012707320566,0.0768421798848741,1.4451520881982929
113,180.0,5.76,1.0766497629083247,1.470028092960106,0.068662691309027,1.8239153809553976
114,196.0,5.76,1.073142384366874,1.2215492477774417,0.0812559507923914,1.5025595107569931
115,211.0,5.76,1.0648891332233827,0.9180255142157232,0.1386876578543724,1.343532496897246
116,227.0,5.76,1.097483066502463,1.372975221600546,0.1055837991180043,1.789727906323164
117,243.0,5.76,1.0799932825794885,1.1322891872511915,0.1132395462044732,1.4574134811336077
118,274.0,5.76,1.0690909090909089,1.2461463722618644,0.0770224260456181,1.442699421899567
119,353.0,5.76,1.096952908587258,1.1193040482068208,0.1245797919938924,1.4590917001633972
120,101.0,6.31,1.0765171503957784,1.3629622550343343,0.0612205209271995,1.435364121475816
121,117.0,6.31,1.1063829787234063,1.1681954308540987,0.1493965328329486,1.4293788246848569
122,133.0,6.31,1.096330275229359,1.2918517622167969,0.1118898516181293,1.5805324579848663
123,149.0,6.31,1.0959058671824629,1.2086397619062084,0.097403873042211,1.348980805692258
124,165.0,6.31,1.0753623188405788,1.4074803228805697,0.0469682448183749,1.3724164679149946
125,180.0,6.31,1.072664359861594,0.590495326189333,0.2565195785631776,1.2618142672949624
126,196.0,6.31,1.0606060606060588,1.0933563647764852,0.0889470601652471,1.392079092333372
127,211.0,6.31,1.074305164319252,1.190093769557921,0.0751077934103524,1.2094683844323384
128,227.0,6.31,1.060660781166399,1.468687311801838,0.0512651085779442,1.597459351722466
129,243.0,6.31,1.0851805728518058,1.243370314980868,0.0892974997783635,1.5603143420469832
130,274.0,6.31,1.0693928950159073,1.2218691376217197,0.0753882588038989,1.301905200305914
131,353.0,6.31,1.0765432098765415,1.2373441893022816,0.0974059431209617,1.5551631200878235
132,101.0,6.86,1.076783723522853,1.653243597278034,0.0279728103943631,1.2771341856803111
133,117.0,6.86,1.0646928855501547,1.6409356897308531,0.0245847792465772,1.2861840075708393
134,133.0,6.86,1.0697697697697683,1.305266487428253,0.0555047724371813,1.2599813685909933
135,149.0,6.86,1.083565459610029,1.5967332740288196,0.0443457531239449,1.4201172125017412
